Component,Description,Estimated Cost (CAD),Notes,Link
Raspberry Pi Zero 2W,Main processor board,Already owned,Compact low-power runs Python,N/A
"2.8"" TFT LCD with Touchscreen Breakout Board w/MicroSD Socket - ILI9341",Touch display for UI,$26.99,Capacitive preferred for finger/stylus input,https://www.amazon.ca/dp/B0CD9NDSVN/ref=sspa_dk_detail_1?psc=1&pd_rd_i=B0CD9NDSVN&pd_rd_w=uZdOn&content-id=amzn1.sym.516c2169-755e-413a-a38a-68230f4ab66f&pf_rd_p=516c2169-755e-413a-a38a-68230f4ab66f&pf_rd_r=052SGRP9072K06PV0J9B&pd_rd_wg=BRKIS&pd_rd_r=b86eea06-6c8b-4f9e-af12-f157570f25c6&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw
Digikey 1528-1119-ND,Push button for power or action input,$3.88,Used for turning on/start,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/1119/7241449
3.7V 1200mAh flat LiPo cell,Rechargeable power source,$11.75,Choose based on space and usage time,https://www.amazon.ca/063450-1200mAh-Polymer-Battery-Rechargeable/dp/B0BCJT5DGS?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A2SCFHO7ADYKAL
TP4056 Charging Module,Battery charger with protection,$8.99,Enables USB recharging,https://www.amazon.ca/Battery-Charger-Charging-Protection-Functions/dp/B0CTG3W3VZ?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A15AU4KLTOGL5D
MicroSD Card (16–32GB),Storage for OS + notes/memos,Already owned,Also boots RPi,N/A
Buzzer 12V – 12mm HYDZ,Audio output for timers,Already Owned,PCB mountable,N/A
Stylus (optional),Precision touch input,$2–5,Optional so will not buy,N/A
3D printed case,Custom ORV-themed Fourth Wall design,~$10–$20,Varies by size material and print method,N/A
"Misc. wires, headers, etc.",For connecting components,~$3,"Jumper wires, solder, etc.",N/A
